City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
296,Morondava,MG,-20.2833,44.2833,81.79,76,99,16.53,overcast clouds
297,Mahebourg,MU,-20.4081,57.7,77.25,94,75,3.44,broken clouds
298,Kaitangata,NZ,-46.2817,169.8464,67.23,54,15,4.47,few clouds
299,Urumqi,CN,43.801,87.6005,-6.65,84,17,2.24,mist
300,Zeya,RU,53.75,127.2667,-29.63,99,97,1.39,overcast clouds
301,Juneau,US,58.3019,-134.4197,37.4,76,20,4.61,few clouds
302,Severo-Kurilsk,RU,50.6789,156.125,25.34,80,100,15.68,overcast clouds
303,Kutum,SD,14.2,24.6667,67.64,11,97,6.38,overcast clouds
304,Adrar,MR,20.5022,-10.0711,54.46,38,69,7.54,broken clouds
305,Champerico,GT,14.3,-91.9167,90.14,65,22,11.07,few clouds
306,Sheridan,US,44.8333,-106.9173,9.3,82,100,14.97,light snow
307,Paamiut,GL,61.994,-49.6678,13.95,79,100,6.82,overcast clouds
308,Rtishchevo,RU,52.2604,43.7874,10.94,94,100,4.83,overcast clouds
309,Lorengau,PG,-2.0226,147.2712,82.24,77,66,5.37,broken clouds
310,Luquillo,PR,18.3725,-65.7166,78.73,65,0,10.36,clear sky
311,Coquimbo,CL,-29.9533,-71.3436,67.73,72,0,10.36,clear sky
312,Falmouth,GB,50.1544,-5.0711,45.18,76,100,2.3,overcast clouds
313,Tuatapere,NZ,-46.1333,167.6833,67.8,52,7,6.2,clear sky
314,Talara,PE,-4.5772,-81.2719,83.16,57,0,11.5,clear sky
315,Bathurst,AU,-33.4166,149.5806,79.97,57,96,1.01,light rain
316,Novosheshminsk,RU,55.0651,51.2338,4.08,98,96,3.87,overcast clouds
317,Puerto Suarez,BO,-18.95,-57.8,74.93,94,58,3.94,broken clouds
318,Ulaanbaatar,MN,47.9077,106.8832,-14.67,70,5,2.24,clear sky
319,Port Macquarie,AU,-31.4333,152.9167,83.89,72,52,11.41,broken clouds
320,Kankan,GN,10.3854,-9.3057,79.47,19,93,2.75,overcast clouds
321,Connersville,US,39.6412,-85.1411,52.32,78,97,10.11,overcast clouds
322,Huarmey,PE,-10.0681,-78.1522,72.97,78,100,8.28,overcast clouds
323,Gravdal,NO,68.1214,13.5031,37.02,82,100,14.9,light rain
324,Pundaguitan,PH,6.3711,126.1689,77.4,86,100,1.92,overcast clouds
325,Horsham,GB,51.064,-0.3272,41.65,83,75,3.44,broken clouds
326,Contamana,PE,-7.3333,-75.0167,90.54,40,96,6.6,overcast clouds
327,Gao,ML,16.6362,1.637,61.34,8,81,9.95,broken clouds
328,Conde,BR,-7.2597,-34.9075,80.06,74,75,6.91,broken clouds
329,Lindi,TZ,-10.0,39.7167,73.69,92,40,3.15,scattered clouds
330,Trinidad,BO,-14.8333,-64.9,84.18,79,75,6.91,broken clouds
331,Locri,IT,38.2414,16.2623,47.32,81,87,9.98,overcast clouds
332,Shestakovo,RU,56.4915,103.96,11.37,97,100,3.04,overcast clouds
333,Acapulco,MX,16.8634,-99.8901,83.53,55,0,10.83,clear sky
334,Divo,CI,5.8397,-5.36,76.64,85,55,4.03,broken clouds
335,Sobolevo,RU,54.4299,31.8996,25.86,89,100,3.71,overcast clouds
336,Hobyo,SO,5.3505,48.5268,75.97,72,27,20.36,scattered clouds
337,Tabou,CI,4.423,-7.3528,78.6,88,23,9.06,few clouds
338,Port Hedland,AU,-20.3167,118.5667,84.25,84,99,3.44,overcast clouds
339,Kulhudhuffushi,MV,6.6221,73.07,79.65,77,6,7.45,clear sky
340,Thornbury,GB,52.2333,-2.55,42.73,89,100,4.81,overcast clouds
341,Flin Flon,CA,54.7682,-101.865,-9.56,59,75,8.05,broken clouds
342,Lubbock,US,33.6001,-101.8338,61.05,21,75,16.11,broken clouds
343,Pemba,MZ,-12.974,40.5178,79.5,89,20,13.8,few clouds
344,Kuna,US,43.4918,-116.4201,38.68,70,100,9.22,overcast clouds
345,Fonte Boa,BR,-2.4959,-66.2662,76.71,89,99,2.28,overcast clouds
346,Husavik,IS,66.0449,-17.3389,34.97,90,60,11.41,broken clouds
