City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
718,Maldonado,UY,76.39,few clouds,-34.6667,-54.9167,No hotel found
719,Mahibadhoo,MV,80.1,broken clouds,3.7833,72.9667,No hotel found
722,Corozal,CO,80.74,clear sky,9.3151,-75.2928,No hotel found
723,Batangafo,CF,78.21,broken clouds,7.3008,18.2833,No hotel found
730,Dondo,MZ,74.62,scattered clouds,-19.6094,34.7431,No hotel found
731,Zamora,EC,74.01,broken clouds,-4.0692,-78.9567,No hotel found
732,Iquitos,PE,84.24,scattered clouds,-3.7481,-73.2472,No hotel found
733,San Carlos,VE,80.22,broken clouds,9.6612,-68.5827,No hotel found
736,Acarau,BR,79.56,clear sky,-2.8856,-40.12,No hotel found
737,Karratha,AU,85.3,broken clouds,-20.7377,116.8463,No hotel found
739,Thanjavur,IN,70.36,scattered clouds,10.8,79.15,No hotel found
740,Pimentel,PE,71.82,broken clouds,-6.8367,-79.9342,No hotel found
741,Lahat,ID,72.54,overcast clouds,-3.8,103.5333,No hotel found
746,Oistins,BB,75.38,clear sky,13.0667,-59.5333,No hotel found
747,Ngunguru,NZ,71.98,overcast clouds,-35.6167,174.5,No hotel found
748,Male,MV,79.77,broken clouds,4.1748,73.5089,No hotel found
751,Diffa,NE,75.97,overcast clouds,13.3154,12.6113,No hotel found
755,Buchanan,LR,77.76,scattered clouds,5.8808,-10.0467,No hotel found
756,Amuntai,ID,73.24,overcast clouds,-2.4177,115.2494,No hotel found
759,Iquique,CL,71.56,broken clouds,-20.2208,-70.1431,No hotel found
767,Reyes,BO,75.4,overcast clouds,-14.3167,-67.3833,No hotel found
768,Mackay,AU,84.69,broken clouds,-21.15,149.2,No hotel found
769,Sabla,NG,75.13,broken clouds,12.7525,4.7077,No hotel found
772,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,No hotel found
774,Rodrigues Alves,BR,77.7,overcast clouds,-7.738,-72.6509,No hotel found
775,Soyo,AO,78.49,few clouds,-6.1349,12.3689,No hotel found
776,Mazatlan,MX,72.91,overcast clouds,23.2167,-106.4167,No hotel found
779,Goya,AR,82.71,overcast clouds,-29.14,-59.2626,No hotel found
781,Moussoro,TD,80.69,broken clouds,13.6408,16.4901,No hotel found
784,Kang,BW,81.37,broken clouds,-23.6752,22.7876,No hotel found
785,Morant Bay,JM,76.59,broken clouds,17.8815,-76.4093,No hotel found
786,Yokadouma,CM,76.98,broken clouds,3.5167,15.05,No hotel found
789,Sabya,SA,78.37,clear sky,17.1495,42.6254,No hotel found
791,Qandala,SO,75.2,scattered clouds,11.472,49.8728,No hotel found
792,Jeremie,HT,77.4,broken clouds,18.65,-74.1167,No hotel found
795,Mount Isa,AU,78.57,light rain,-20.7333,139.5,No hotel found
797,Beira,MZ,77.45,scattered clouds,-19.8436,34.8389,No hotel found
798,Baixo Guandu,BR,74.82,few clouds,-19.5189,-41.0158,No hotel found
801,Padilla,CO,80.17,scattered clouds,3.2204,-76.3139,No hotel found
804,Tanete,ID,75.83,overcast clouds,-3.9443,119.7848,No hotel found
805,Kimbe,PG,83.23,broken clouds,-5.5502,150.1429,No hotel found
806,Cassilandia,BR,73.26,scattered clouds,-19.1133,-51.7342,No hotel found
809,Lara,AU,71.11,light rain,-38.0167,144.4,No hotel found
810,Manavalakurichi,IN,71.51,scattered clouds,8.1333,77.3,No hotel found
811,Kirakira,SB,83.21,overcast clouds,-10.4544,161.9205,No hotel found
